Perfil;Campus;Area;AtivAdm;SitTrab;Capacitacao;Qualificacao;Qualicursos;apoiofin;DistCHDoc;DistCHTae;Qualivida;Saudeocupa;Divulgacarr;ClimaOrg;Motivacao;OrgCol[DivDec];OrgCol[ImplDec];OrgCol[RepOrgCol];AvaliaSetores[REIT];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PRINF];AvaliaSetores[PRGPE];AvaliaSetores[PRPLA];AvaliaSetores[DIAFF];AvaliaSetores[DII];AvaliaSetores[DIAVI];AvaliaSetores[DRI];AvaliaSetores[DI];AvaliaSetores[DIRGGV];AvaliaSetores[DUX];AvaliaSetores[CDX];EstReg;RegUni;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[InCapS];AplRF[BProj];AplRF[BMoTP];TrInv
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Semi-presencial;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Discordo;Discordo totalmente;Concordo;Discordo totalmente;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Concordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Chefe ou Sub-chefe de departamento ou de setor administrativo;Semi-presencial;Discordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo totalmente;Não concordo nem discordo;Concordo;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo totalmente;Discordo;Concordo;Não concordo nem discordo;Discordo;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo totalmente;Concordo totalmente;Discordo totalmente;Concordo totalmente;Discordo totalmente
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Chefe ou Sub-chefe de departamento ou de setor administrativo;Presencial;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Discordo totalmente;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências Humanas, Sociais e Aplicadas;Chefe ou Sub-chefe de departamento ou de setor administrativo;Remoto;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Não sei / Não se aplica;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Concordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Chefe ou Sub-chefe de departamento ou de setor administrativo;Remoto;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Não concordo nem discordo;Concordo;Discordo;Não concordo nem discordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Concordo;Não sei / Não se aplica;Concordo;Concordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Concordo;Discordo;Concordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;Discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Chefe ou Sub-chefe de departamento ou de setor administrativo;Semi-presencial;Concordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Não exerci atividade de chefia;Remoto;Concordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Linguística, Letras e Artes;Não exerci atividade de chefia;Semi-presencial;Concordo totalmente;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Administração Central (Reitor, Vice-reitora, Pró-reitor(a));Remoto;Discordo;Concordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Chefe ou Sub-chefe de departamento ou de setor administrativo;Remoto;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Discordo
